report_date,category,revenue
07/06/2022,Set,1244933.00
07/06/2022,Top,138733.00
07/06/2022,Western Dress,418646.00
07/06/2022,kurta,817511.00
08/06/2022,Blouse,13139.00
08/06/2022,Bottom,1965.00
08/06/2022,Ethnic Dress,19514.00
08/06/2022,Set,1205585.00
08/06/2022,Top,149778.00
08/06/2022,Western Dress,456067.00
08/06/2022,kurta,775614.00
09/06/2022,Blouse,12109.00
09/06/2022,Bottom,2391.00
09/06/2022,Ethnic Dress,25098.00
09/06/2022,Saree,898.00
09/06/2022,Set,1161945.00
09/06/2022,Top,172544.00
09/06/2022,Western Dress,464533.00
09/06/2022,kurta,772891.00
10/06/2022,Blouse,11434.00
10/06/2022,Bottom,2692.00
10/06/2022,Ethnic Dress,24121.00
10/06/2022,Saree,1896.00
10/06/2022,Set,1073799.00
10/06/2022,Top,173464.00
10/06/2022,Western Dress,452920.00
10/06/2022,kurta,727380.00
11/06/2022,Blouse,10040.00
11/06/2022,Bottom,2854.00
11/06/2022,Ethnic Dress,29874.00
11/06/2022,Saree,3537.00
11/06/2022,Set,1051752.00
11/06/2022,Top,175351.00
11/06/2022,Western Dress,427852.00
11/06/2022,kurta,690841.00
12/06/2022,Blouse,10123.00
12/06/2022,Bottom,3030.00
12/06/2022,Ethnic Dress,27031.00
12/06/2022,Saree,4167.00
12/06/2022,Set,1074768.00
12/06/2022,Top,197188.00
12/06/2022,Western Dress,420658.00
12/06/2022,kurta,671881.00
13/06/2022,Blouse,13236.00
13/06/2022,Bottom,3268.00
13/06/2022,Ethnic Dress,29823.00
13/06/2022,Saree,4713.00
13/06/2022,Set,1098381.00
13/06/2022,Top,217815.00
13/06/2022,Western Dress,403185.00
13/06/2022,kurta,684425.00
14/06/2022,Blouse,13564.00
14/06/2022,Bottom,2464.00
14/06/2022,Ethnic Dress,31302.00
14/06/2022,Saree,3809.00
14/06/2022,Set,1124968.00
14/06/2022,Top,221212.00
14/06/2022,Western Dress,406104.00
14/06/2022,kurta,688934.00
15/06/2022,Blouse,15969.00
15/06/2022,Bottom,2725.00
15/06/2022,Ethnic Dress,29547.00
15/06/2022,Saree,3696.00
15/06/2022,Set,1098684.00
15/06/2022,Top,181604.00
15/06/2022,Western Dress,372074.00
15/06/2022,kurta,622112.00
16/06/2022,Blouse,15150.00
16/06/2022,Bottom,3213.00
16/06/2022,Ethnic Dress,25133.00
16/06/2022,Saree,2152.00
16/06/2022,Set,1111975.00
16/06/2022,Top,154346.00
16/06/2022,Western Dress,346020.00
16/06/2022,kurta,613159.00
17/06/2022,Blouse,10445.00
17/06/2022,Bottom,3612.00
17/06/2022,Ethnic Dress,21812.00
17/06/2022,Saree,2300.00
17/06/2022,Set,1089767.00
17/06/2022,Top,133044.00
17/06/2022,Western Dress,301118.00
17/06/2022,kurta,570494.00
18/06/2022,Blouse,7823.00
18/06/2022,Bottom,4542.00
18/06/2022,Ethnic Dress,20088.00
18/06/2022,Saree,1544.00
18/06/2022,Set,1061443.00
18/06/2022,Top,117964.00
18/06/2022,Western Dress,285341.00
18/06/2022,kurta,578098.00
19/06/2022,Blouse,8110.00
19/06/2022,Bottom,4176.00
19/06/2022,Ethnic Dress,21025.00
19/06/2022,Saree,1544.00
19/06/2022,Set,1033687.00
19/06/2022,Top,118103.00
19/06/2022,Western Dress,270155.00
19/06/2022,kurta,538914.00
20/06/2022,Blouse,10137.00
20/06/2022,Bottom,4312.00
20/06/2022,Ethnic Dress,22983.00
20/06/2022,Saree,659.00
20/06/2022,Set,1001534.00
20/06/2022,Top,115719.00
20/06/2022,Western Dress,270917.00
20/06/2022,kurta,568346.00
21/06/2022,Blouse,11068.00
21/06/2022,Bottom,4873.00
21/06/2022,Ethnic Dress,27117.00
21/06/2022,Saree,885.00
21/06/2022,Set,1002190.00
21/06/2022,Top,120180.00
21/06/2022,Western Dress,285335.00
21/06/2022,kurta,593101.00
22/06/2022,Blouse,11184.00
22/06/2022,Bottom,5806.00
22/06/2022,Ethnic Dress,28404.00
22/06/2022,Saree,1559.00
22/06/2022,Set,998641.00
22/06/2022,Top,123009.00
22/06/2022,Western Dress,315476.00
22/06/2022,kurta,628995.00
23/06/2022,Blouse,10831.00
23/06/2022,Bottom,5971.00
23/06/2022,Ethnic Dress,20682.00
23/06/2022,Saree,2218.00
23/06/2022,Set,956062.00
23/06/2022,Top,103247.00
23/06/2022,Western Dress,319138.00
23/06/2022,kurta,602040.00
24/06/2022,Blouse,8406.00
